Experiment,Time,TR_u_IPTG,TR_u_ATC,READOUT_LACI,READOUT_TETR,STD_LACI,STD_TETR
2,20.05,0.8,20,48.16303309,1923.027731,0.481630331,19.23027731
2,25.05,0.8,20,54.77435553,1879.558798,0.547743555,18.79558798
2,30.05,0.8,20,61.408936,1870.341969,0.61408936,18.70341969
2,35.05,0.8,20,66.6765718,1819.000192,0.666765718,18.19000192
2,40.05,0.8,20,73.46016908,1752.326487,0.734601691,17.52326487
2,45.05,0.8,20,79.35605601,1765.582583,0.79356056,17.65582583
2,50.05,0.8,20,84.09188556,1707.457894,0.840918856,17.07457894
2,55.05,0.8,20,90.05644164,1687.05346,0.900564416,16.8705346
2,60.06666667,0.8,20,94.95927353,1674.849803,0.949592735,16.74849803
2,65.05,0.8,20,99.79820503,1651.356755,0.99798205,16.51356755
2,70.05,0.8,20,103.1088941,1599.788738,1.031088941,15.99788738
2,75.05,0.8,20,109.6844011,1617.080147,1.096844011,16.17080147
2,80.05,0.8,20,110.8212552,1589.988206,1.108212552,15.89988206
2,85.05,0.8,20,117.2653131,1556.059831,1.172653131,15.56059831
2,90.05,0.8,20,119.8297189,1531.537062,1.198297189,15.31537062
2,95.05,0.8,20,124.5863181,1500.67348,1.245863181,15.0067348
2,100.05,0.8,20,127.3075222,1485.935702,1.273075222,14.85935702
2,105.05,0.8,20,133.5686378,1484.555649,1.335686378,14.84555649
2,110.05,0.8,20,134.4619649,1472.137615,1.344619649,14.72137615
2,115.05,0.8,20,140.4549605,1433.726159,1.404549605,14.33726159
2,120.05,0.8,20,142.391346,1431.255839,1.42391346,14.31255839
2,125.05,0.8,20,144.9507555,1445.742037,1.449507555,14.45742037
2,130.05,0.8,20,148.0888612,1439.832345,1.480888612,14.39832345
2,135.05,0.8,20,153.2977679,1429.443085,1.532977679,14.29443085
2,140.05,0.8,20,157.4107053,1385.857765,1.574107053,13.85857765
2,145.05,0.8,20,157.7508313,1382.567816,1.577508313,13.82567816
2,150.05,0.8,20,159.5276236,1353.958369,1.595276236,13.53958369
2,155.05,0.8,20,164.1866688,1353.759024,1.641866688,13.53759024
2,160.05,0.8,20,164.0270522,1352.555837,1.640270522,13.52555837
2,165.05,0.8,20,168.3853765,1324.785397,1.683853765,13.24785397
